Date	Kind of Business	NAICS  Code	Number of Records	Value
1/1/1992 	Motor vehicle and parts dealers	441	1	29811
1/1/1992 	Automobile dealers	4411	1	25800
1/1/1992 	Automobile and other motor vehicle dealers	44114412	1	26788
1/1/1992 	New car dealers	44111	1	24056
1/1/1992 	Used car dealers	44112	1	1744
1/1/1992 	Automotive parts acc. and tire stores	4413	1	3023
1/1/1992 	Furniture and home furnishings stores	442	1	3846
1/1/1992 	Furniture home furn electronics and appliance stores	442443	1	7087
1/1/1992 	Furniture stores	4421	1	2392
1/1/1992 	Home furnishings stores	4422	1	1454
1/1/1992 	Floor covering stores	44221	1	728
1/1/1992 	All other home furnishings stores	442299	1	
1/1/1992 	Electronics and appliance stores	443	1	3241
1/1/1992 	Appl.TV and other elect. stores	44311	1	2142
1/1/1992 	Household appliance stores	443111	1	601
1/1/1992 	 Radio T.V. and other elect. stores	443112	1	1541
1/1/1992 	 Computer and software stores	44312	1	933
1/1/1992 	Building mat. and garden equip. and supplies dealers	444	1	8964
1/1/1992 	Building mat. and supplies dealers	4441	1	7637
1/1/1992 	Paint and wallpaper stores	44412	1	
1/1/1992 	 Hardware stores	44413	1	842
1/1/1992 	Food and beverage stores	445	1	29589
1/1/1992 	Grocery stores	4451	1	27306
1/1/1992 	Supermarkets and other grocery (except convenience) stores	44511	1	
1/1/1992 	Beer wine and liquor stores	4453	1	1509
1/1/1992 	Health and personal care stores	446	1	7258
1/1/1992 	Pharmacies and drug stores	44611	1	6358
1/1/1992 	Gasoline stations	447	1	12099
1/1/1992 	Clothing and clothing access. stores	448	1	6938
1/1/1992 	Clothing stores	4481	1	4852
1/1/1992 	 Men's clothing stores	44811	1	701
1/1/1992 	Women's clothing stores	44812	1	1873
1/1/1992 	Family clothing stores	44814	1	1649
1/1/1992 	Other clothing stores	44819	1	
1/1/1992 	Shoe stores	4482	1	1206
1/1/1992 	Jewelry stores	44831	1	796
1/1/1992 	Sporting goods hobby book and music stores	451	1	3439
1/1/1992 	 Sporting goods stores	45111	1	972
1/1/1992 	 Hobby toy and game stores	45112	1	620
1/1/1992 	Book stores	451211	1	790
1/1/1992 	General merchandise stores	452	1	14996
1/1/1992 	Department stores (excl.L.D)	4521	1	10306
1/1/1992 	Department stores (incl. L.D.)(2)	4521	1	10560
1/1/1992 	Department stores(excl. discount department stores)	452111	1	4818
1/1/1992 	Department stores(excl. discount department stores)	452111	1	4959
1/1/1992 	Discount dept. stores	452112	1	5488
1/1/1992 	Discount dept. stores	452112	1	5601
1/1/1992 	Other general merchandise stores	4529	1	4690
1/1/1992 	Warehouse clubs and superstores	45291	1	2579
1/1/1992 	All other gen. merchandise stores	45299	1	2111
1/1/1992 	Miscellaneous store retailers	453	1	3642
1/1/1992 	Office supplies stationery and gift stores	4532	1	1446
1/1/1992 	Office supplies and stationery stores	45321	1	788
1/1/1992 	Gift novelty and souvenir stores	45322	1	658
1/1/1992 	Used merchandise stores	4533	1	371
1/1/1992 	Nonstore retailers	454	1	6860
1/1/1992 	Electronic shopping and mail-order houses	4541	1	2692
1/1/1992 	Fuel dealers	45431	1	1916
1/1/1992 	Food services and drinking places	722	1	15693
1/1/1992 	Full service restaurants	7221	1	6887
1/1/1992 	 Limited service eating places	7222	1	6438
1/1/1992 	Drinking places	7224	1	1049
2/1/1992 	 Retail and food services sales total		1	147079
2/1/1992 	GAFO(1)		1	35220
2/1/1992 	Retail sales and food services excl motor vehicle and parts		1	115862
2/1/1992 	Retail sales total		1	131244
2/1/1992 	Retail sales total (excl. motor vehicle and parts dealers)		1	100027
2/1/1992 	Motor vehicle and parts dealers	441	1	31217
2/1/1992 	Automobile dealers	4411	1	27031
2/1/1992 	Automobile and other motor vehicle dealers	44114412	1	28203
2/1/1992 	New car dealers	44111	1	25041
2/1/1992 	Used car dealers	44112	1	1990
2/1/1992 	Automotive parts acc. and tire stores	4413	1	3014
2/1/1992 	Furniture and home furnishings stores	442	1	3908
2/1/1992 	Furniture home furn electronics and appliance stores	442443	1	6940
2/1/1992 	Furniture stores	4421	1	2460
2/1/1992 	Home furnishings stores	4422	1	1448
2/1/1992 	Floor covering stores	44221	1	731
2/1/1992 	All other home furnishings stores	442299	1	
2/1/1992 	Electronics and appliance stores	443	1	3032
2/1/1992 	Appl.TV and other elect. stores	44311	1	2043
2/1/1992 	Household appliance stores	443111	1	576
2/1/1992 	 Radio T.V. and other elect. stores	443112	1	1467
2/1/1992 	 Computer and software stores	44312	1	839
2/1/1992 	Building mat. and garden equip. and supplies dealers	444	1	9023
2/1/1992 	Building mat. and supplies dealers	4441	1	7567
2/1/1992 	Paint and wallpaper stores	44412	1	
2/1/1992 	 Hardware stores	44413	1	818
2/1/1992 	Food and beverage stores	445	1	28570
2/1/1992 	Grocery stores	4451	1	26223
2/1/1992 	Supermarkets and other grocery (except convenience) stores	44511	1	
2/1/1992 	Beer wine and liquor stores	4453	1	1541
2/1/1992 	Health and personal care stores	446	1	7150
2/1/1992 	Pharmacies and drug stores	44611	1	6284
2/1/1992 	Gasoline stations	447	1	11580
2/1/1992 	Clothing and clothing access. stores	448	1	7524
2/1/1992 	Clothing stores	4481	1	5159
2/1/1992 	 Men's clothing stores	44811	1	658
2/1/1992 	Women's clothing stores	44812	1	1991
2/1/1992 	Family clothing stores	44814	1	1864
2/1/1992 	Other clothing stores	44819	1	
2/1/1992 	Shoe stores	4482	1	1265
2/1/1992 	Jewelry stores	44831	1	1021
2/1/1992 	Sporting goods hobby book and music stores	451	1	3264
2/1/1992 	 Sporting goods stores	45111	1	1100
2/1/1992 	 Hobby toy and game stores	45112	1	585
2/1/1992 	Book stores	451211	1	539
2/1/1992 	General merchandise stores	452	1	16015
2/1/1992 	Department stores (excl.L.D)	4521	1	11251
